n_estimators,max_depth,random_state,score
11,13,18,95.7
11,13,19,95.9
11,13,20,96.2
11,13,21,95.8
11,13,22,95.3
11,13,23,95.3
11,13,24,96.2
11,13,25,95.2
11,13,26,95.2
11,13,27,95.1
11,13,28,95.7
11,13,29,95.4
11,14,1,96.8
11,14,2,96.1
11,14,3,96.0
11,14,4,95.5
11,14,5,95.2
11,14,6,95.4
11,14,7,95.6
11,14,8,95.2
11,14,9,95.4
11,14,10,95.5
11,14,11,95.2
11,14,12,95.9
11,14,13,95.4
11,14,14,95.1
11,14,15,95.2
11,14,16,96.0
11,14,17,95.2
11,14,18,96.1
11,14,19,95.2
11,14,20,96.2
11,14,21,95.6
11,14,22,96.0
11,14,23,95.4
11,14,24,95.9
11,14,25,95.5
11,14,26,95.2
11,14,27,96.0
11,14,28,96.2
11,14,29,95.2
11,15,1,95.3
11,15,2,95.1
11,15,3,96.2
11,15,4,96.0
11,15,5,94.7
11,15,6,95.4
11,15,7,95.7
11,15,8,95.3
11,15,9,96.0
11,15,10,95.2
11,15,11,96.1
11,15,12,95.9
11,15,13,96.2
11,15,14,95.2
11,15,15,95.3
11,15,16,95.6
11,15,17,96.5
11,15,18,95.7
11,15,19,96.3
11,15,20,96.0
11,15,21,95.7
11,15,22,96.2
11,15,23,95.4
11,15,24,96.0
11,15,25,95.9
11,15,26,94.9
11,15,27,95.7
11,15,28,95.7
11,15,29,95.7
12,10,1,94.7
12,10,2,94.8
12,10,3,94.3
12,10,4,94.4
12,10,5,94.8
12,10,6,94.6
12,10,7,95.7
12,10,8,94.9
12,10,9,95.2
12,10,10,94.8
12,10,11,94.2
12,10,12,94.6
12,10,13,95.0
12,10,14,94.3
12,10,15,95.2
12,10,16,94.7
12,10,17,94.9
12,10,18,94.3
12,10,19,94.8
12,10,20,94.1
12,10,21,94.7
12,10,22,94.9
12,10,23,95.2
12,10,24,94.9
12,10,25,93.9
12,10,26,94.9
12,10,27,94.9
12,10,28,94.8
12,10,29,94.6
12,11,1,95.9
12,11,2,95.2
12,11,3,94.9
12,11,4,95.2
12,11,5,95.2
12,11,6,95.2
12,11,7,95.7
12,11,8,95.5
12,11,9,95.2
12,11,10,95.1
12,11,11,95.7
12,11,12,95.2
12,11,13,94.9
12,11,14,95.1
12,11,15,94.4
12,11,16,95.5
12,11,17,95.2
12,11,18,94.9
12,11,19,95.6
12,11,20,94.7
12,11,21,95.3
12,11,22,95.5
12,11,23,95.4
12,11,24,95.5
12,11,25,94.6
12,11,26,95.4
12,11,27,95.7
12,11,28,95.3
12,11,29,95.4
12,12,1,96.0
12,12,2,95.3
12,12,3,95.1
12,12,4,95.7
12,12,5,95.4
12,12,6,95.4
12,12,7,95.6
12,12,8,95.4
12,12,9,95.7
12,12,10,95.4
12,12,11,95.4
12,12,12,96.0
12,12,13,95.6
12,12,14,95.5
12,12,15,95.9
12,12,16,95.9
12,12,17,95.3
12,12,18,95.4
12,12,19,95.3
12,12,20,94.7
12,12,21,94.9
12,12,22,95.7
12,12,23,95.2
12,12,24,95.7
12,12,25,94.5
12,12,26,94.9
12,12,27,95.6
12,12,28,95.5
12,12,29,95.2
12,13,1,96.2
12,13,2,95.6
12,13,3,95.7
12,13,4,95.7
12,13,5,95.5
12,13,6,95.7
12,13,7,96.0
12,13,8,96.0
12,13,9,96.0
12,13,10,95.5
12,13,11,95.7
12,13,12,96.2
12,13,13,95.5
12,13,14,95.7
12,13,15,95.7
12,13,16,96.0
12,13,17,95.5
12,13,18,96.0
12,13,19,96.0
12,13,20,96.1
12,13,21,95.8
12,13,22,95.5
12,13,23,95.4
12,13,24,96.2
12,13,25,95.3
12,13,26,95.0
12,13,27,94.9
12,13,28,95.7
12,13,29,95.0
12,14,1,96.4
12,14,2,96.0
12,14,3,96.0
12,14,4,95.6
12,14,5,95.4
12,14,6,95.7
12,14,7,95.7
12,14,8,95.0
12,14,9,95.7
12,14,10,95.7
12,14,11,95.5
12,14,12,95.8
12,14,13,96.0
12,14,14,95.2
12,14,15,95.6
12,14,16,96.3
12,14,17,95.8
12,14,18,96.2
12,14,19,95.2
12,14,20,96.2
12,14,21,95.6
12,14,22,96.0
12,14,23,95.3
12,14,24,96.0
12,14,25,96.0
12,14,26,95.2
12,14,27,95.8
12,14,28,96.1
12,14,29,95.4
12,15,1,95.8
12,15,2,95.2
12,15,3,96.3
12,15,4,95.7
12,15,5,95.4
12,15,6,95.4
12,15,7,95.7
12,15,8,94.9
12,15,9,96.1
12,15,10,95.4
12,15,11,96.1
12,15,12,96.0
12,15,13,96.1
12,15,14,95.2
12,15,15,95.5
12,15,16,95.9
12,15,17,96.4
12,15,18,95.7
12,15,19,96.6
12,15,20,96.2
12,15,21,95.3
12,15,22,96.4
12,15,23,95.3
12,15,24,96.2
12,15,25,96.4
12,15,26,95.2
12,15,27,95.4
12,15,28,95.6
12,15,29,95.7
13,10,1,95.0
13,10,2,94.9
13,10,3,94.5
13,10,4,94.6
13,10,5,94.9
13,10,6,94.7
13,10,7,95.3
13,10,8,94.7
13,10,9,95.2
13,10,10,94.8
13,10,11,94.4
13,10,12,94.5
13,10,13,95.2
13,10,14,94.7
13,10,15,95.1
13,10,16,94.7
13,10,17,95.0
13,10,18,94.7
13,10,19,94.7
13,10,20,94.4
13,10,21,94.7
13,10,22,94.6
13,10,23,95.2
13,10,24,94.7
13,10,25,94.1
13,10,26,94.7
13,10,27,94.9
13,10,28,94.9
13,10,29,94.7
13,11,1,95.9
13,11,2,95.2
13,11,3,95.3
13,11,4,95.2
13,11,5,95.3
13,11,6,95.5
13,11,7,95.7
13,11,8,95.7
13,11,9,95.7
13,11,10,95.2
13,11,11,95.7
13,11,12,95.4
13,11,13,95.1
13,11,14,95.4
13,11,15,94.9
13,11,16,95.9
13,11,17,95.2
13,11,18,94.8
13,11,19,95.7
13,11,20,95.1
13,11,21,95.7
13,11,22,95.7
13,11,23,95.2
13,11,24,95.4
13,11,25,94.8
13,11,26,95.4
13,11,27,95.2
13,11,28,95.3
13,11,29,95.4
13,12,1,95.8
13,12,2,95.4
13,12,3,95.5
13,12,4,95.6
13,12,5,95.6
13,12,6,95.3
13,12,7,95.5
13,12,8,95.6
13,12,9,95.8
13,12,10,95.5
13,12,11,95.5
13,12,12,95.8
13,12,13,95.6
13,12,14,95.5
13,12,15,96.1
13,12,16,96.2
13,12,17,95.3
13,12,18,95.7
13,12,19,95.4
13,12,20,95.0
13,12,21,95.3
13,12,22,96.0
13,12,23,95.4
13,12,24,95.7
13,12,25,94.6
13,12,26,95.1
13,12,27,95.7
13,12,28,95.7
13,12,29,95.4
13,13,1,96.1
13,13,2,96.1
13,13,3,95.9
13,13,4,95.8
13,13,5,95.7
13,13,6,96.0
13,13,7,96.0
13,13,8,96.1
13,13,9,96.0
13,13,10,95.7
13,13,11,96.0
13,13,12,96.1
13,13,13,95.7
13,13,14,95.5
13,13,15,95.9
13,13,16,96.3
13,13,17,95.4
13,13,18,95.7
13,13,19,96.0
13,13,20,96.3
13,13,21,95.7
13,13,22,95.3
13,13,23,95.5
13,13,24,96.2
13,13,25,95.5
13,13,26,95.4
13,13,27,95.4
13,13,28,96.0
13,13,29,95.4
13,14,1,96.3
13,14,2,96.1
13,14,3,95.9
13,14,4,95.4
13,14,5,95.5
13,14,6,95.9
13,14,7,95.8
13,14,8,95.4
13,14,9,96.2
13,14,10,95.8
13,14,11,95.7
13,14,12,96.0
13,14,13,96.1
13,14,14,95.1
13,14,15,95.7
13,14,16,96.2
13,14,17,95.6
13,14,18,96.7
13,14,19,95.5
13,14,20,96.4
13,14,21,95.5
13,14,22,96.2
13,14,23,95.6
13,14,24,96.4
13,14,25,95.9
13,14,26,95.5
13,14,27,96.0
13,14,28,96.4
13,14,29,95.4
13,15,1,95.5
13,15,2,95.5
13,15,3,96.1
13,15,4,96.0
13,15,5,95.5
13,15,6,95.7
13,15,7,95.7
13,15,8,95.4
13,15,9,96.5
13,15,10,95.6
13,15,11,95.8
13,15,12,96.3
13,15,13,96.2
13,15,14,95.2
13,15,15,95.7
13,15,16,96.1
13,15,17,96.4
13,15,18,96.0
13,15,19,96.6
13,15,20,96.2
13,15,21,95.7
13,15,22,96.1
13,15,23,95.3
13,15,24,96.1
13,15,25,96.2
13,15,26,95.6
13,15,27,95.4
13,15,28,95.7
13,15,29,95.6
14,10,1,95.0
14,10,2,95.1
14,10,3,94.5
14,10,4,94.7
14,10,5,95.0
14,10,6,94.8
14,10,7,95.2
14,10,8,95.0
14,10,9,95.1
14,10,10,95.0
14,10,11,94.6
14,10,12,94.9
14,10,13,95.0
14,10,14,94.7
14,10,15,95.2
14,10,16,95.1
14,10,17,94.7
14,10,18,94.9
14,10,19,95.0
14,10,20,94.7
14,10,21,94.7
14,10,22,94.8
14,10,23,95.0
14,10,24,94.9
14,10,25,94.3
14,10,26,94.7
14,10,27,94.8
14,10,28,95.2
14,10,29,94.9
14,11,1,96.3
14,11,2,95.0
14,11,3,95.5
14,11,4,95.2
14,11,5,95.3
14,11,6,95.7
14,11,7,95.5
14,11,8,95.9
14,11,9,95.7
14,11,10,95.4
14,11,11,95.7
14,11,12,95.2
14,11,13,95.4
14,11,14,95.3
14,11,15,95.2
14,11,16,95.5
14,11,17,95.6
14,11,18,95.1
14,11,19,96.1
14,11,20,94.9
14,11,21,95.8
14,11,22,95.4
14,11,23,95.2
14,11,24,95.4
14,11,25,94.7
14,11,26,95.4
14,11,27,95.2
14,11,28,95.2
14,11,29,95.9
14,12,1,96.0
14,12,2,95.4
14,12,3,95.4
14,12,4,95.5
14,12,5,95.6
14,12,6,95.4
14,12,7,95.7
14,12,8,95.6
14,12,9,95.4
14,12,10,95.7
14,12,11,95.5
14,12,12,96.1
14,12,13,95.7
14,12,14,95.7
14,12,15,96.5
14,12,16,96.3
14,12,17,95.2
14,12,18,95.6
14,12,19,95.0
14,12,20,95.0
14,12,21,95.3
14,12,22,95.9
14,12,23,95.7
14,12,24,95.8
14,12,25,94.9
14,12,26,95.1
14,12,27,96.0
14,12,28,95.4
14,12,29,95.4
14,13,1,96.1
14,13,2,96.0
14,13,3,95.8
14,13,4,95.9
14,13,5,95.5
14,13,6,96.0
14,13,7,95.7
14,13,8,96.2
14,13,9,96.0
14,13,10,95.7
14,13,11,95.7
14,13,12,96.0
14,13,13,95.7
14,13,14,95.6
14,13,15,95.9
14,13,16,96.5
14,13,17,95.4
14,13,18,95.9
14,13,19,96.0
14,13,20,96.2
14,13,21,95.8
14,13,22,95.4
14,13,23,95.4
14,13,24,96.2
14,13,25,95.5
14,13,26,95.5
14,13,27,95.4
14,13,28,95.6
14,13,29,95.2
14,14,1,96.6
14,14,2,95.9
14,14,3,96.2
14,14,4,95.7
14,14,5,95.7
14,14,6,96.1
14,14,7,95.7
14,14,8,95.4
14,14,9,95.7
14,14,10,95.8
14,14,11,95.9
14,14,12,96.3
14,14,13,96.2
14,14,14,95.3
14,14,15,95.6
14,14,16,96.2
14,14,17,96.0
14,14,18,96.6
14,14,19,95.7
14,14,20,95.9
14,14,21,95.0
14,14,22,96.2
14,14,23,95.6
14,14,24,96.2
14,14,25,96.2
14,14,26,95.4
14,14,27,96.0
14,14,28,96.2
14,14,29,95.7
14,15,1,95.8
14,15,2,95.5
14,15,3,96.1
14,15,4,96.1
14,15,5,95.5
14,15,6,95.7
14,15,7,96.0
14,15,8,95.4
14,15,9,96.2
14,15,10,95.6
14,15,11,96.0
14,15,12,96.2
14,15,13,96.1
14,15,14,95.3
14,15,15,95.5
14,15,16,96.0
14,15,17,96.4
14,15,18,96.2
14,15,19,96.6
14,15,20,96.0
14,15,21,95.7
14,15,22,96.3
14,15,23,95.2
14,15,24,96.3
14,15,25,96.0
14,15,26,95.4
14,15,27,95.4
14,15,28,95.9
14,15,29,96.0
15,10,1,95.1
15,10,2,95.3
15,10,3,95.0
15,10,4,94.7
15,10,5,95.0
15,10,6,94.8
15,10,7,95.3
15,10,8,94.9
15,10,9,95.0
15,10,10,95.0
15,10,11,94.6
15,10,12,94.7
15,10,13,94.8
15,10,14,94.4
15,10,15,95.1
15,10,16,94.8
15,10,17,94.9
15,10,18,94.8
15,10,19,95.2
15,10,20,94.6
15,10,21,94.8
15,10,22,94.7
15,10,23,94.9
15,10,24,94.9
15,10,25,94.4
15,10,26,94.9
15,10,27,95.1
15,10,28,95.4
15,10,29,94.8
15,11,1,96.2
15,11,2,95.4
15,11,3,95.3
15,11,4,95.1
15,11,5,95.4
15,11,6,95.8
15,11,7,95.5
15,11,8,95.8
15,11,9,95.8
15,11,10,95.4
15,11,11,95.6
15,11,12,95.2
15,11,13,95.2
15,11,14,95.5
15,11,15,95.1
15,11,16,95.8
15,11,17,95.5
15,11,18,95.4
15,11,19,96.0
15,11,20,95.2
15,11,21,95.9
15,11,22,95.2
15,11,23,95.3
15,11,24,95.3
15,11,25,95.0
15,11,26,95.3
15,11,27,95.3
15,11,28,95.4
15,11,29,95.8
15,12,1,96.1
15,12,2,95.2
15,12,3,95.4
15,12,4,95.4
15,12,5,95.4
15,12,6,95.4
15,12,7,95.5
15,12,8,95.7
15,12,9,95.8
15,12,10,95.8
15,12,11,95.5
15,12,12,96.0
15,12,13,95.9
15,12,14,95.7
15,12,15,96.3
15,12,16,96.5
15,12,17,95.6
15,12,18,95.6
15,12,19,95.1
15,12,20,95.0
15,12,21,95.4
15,12,22,96.0
15,12,23,95.7
15,12,24,95.8
15,12,25,94.7
15,12,26,95.3
15,12,27,96.1
15,12,28,95.7
15,12,29,95.6
15,13,1,96.0
15,13,2,96.1
15,13,3,96.1
15,13,4,96.2
15,13,5,95.4
15,13,6,95.9
15,13,7,96.0
15,13,8,96.2
15,13,9,96.4
15,13,10,95.2
15,13,11,95.9
15,13,12,96.0
15,13,13,95.7
15,13,14,95.5
15,13,15,95.7
15,13,16,96.4
15,13,17,95.9
15,13,18,96.0
15,13,19,96.0
15,13,20,96.3
15,13,21,95.7
15,13,22,95.8
