n_estimators,max_depth,score,ModelSize
38,5,94.3,1.605
38,6,94.1,2.71
38,7,94.0,4.254
38,8,93.8,6.35
38,9,92.9,8.655
38,10,92.9,11.233
38,11,92.4,13.397
39,5,94.3,1.649
39,6,94.1,2.782
39,7,94.0,4.37
39,8,93.9,6.517
39,9,92.9,8.89
39,10,92.9,11.531
39,11,92.5,13.734
40,5,94.3,1.689
40,6,94.2,2.852
40,7,94.1,4.486
40,8,93.9,6.687
40,9,93.0,9.125
40,10,92.9,11.824
40,11,92.5,14.067
41,5,94.3,1.733
41,6,94.2,2.923
41,7,94.1,4.599
41,8,93.8,6.86
41,9,93.0,9.362
41,10,92.9,12.12
41,11,92.5,14.398
42,5,94.4,1.775
42,6,94.2,2.993
42,7,94.0,4.712
42,8,93.9,7.032
42,9,92.9,9.599
42,10,92.8,12.415
42,11,92.5,14.728
43,5,94.3,1.818
43,6,94.2,3.064
43,7,94.2,4.825
43,8,93.9,7.201
43,9,93.0,9.832
43,10,92.9,12.712
43,11,92.5,15.057
44,5,94.4,1.86
44,6,94.2,3.135
44,7,94.2,4.939
44,8,93.9,7.372
44,9,92.9,10.066
44,10,92.9,13.007
44,11,92.5,15.381
45,5,94.5,1.904
45,6,94.3,3.208
45,7,94.2,5.055
45,8,94.0,7.542
45,9,92.9,10.304
45,10,92.9,13.302
45,11,92.6,15.71
46,5,94.5,1.946
46,6,94.4,3.28
46,7,94.3,5.165
46,8,94.1,7.718
46,9,92.9,10.534
46,10,92.9,13.596
46,11,92.5,16.033
47,5,94.5,1.988
47,6,94.4,3.352
47,7,94.3,5.277
47,8,94.0,7.889
47,9,92.9,10.769
47,10,92.9,13.888
47,11,92.6,16.359
48,5,94.6,2.031
48,6,94.4,3.423
48,7,94.3,5.387
48,8,94.0,8.062
48,9,92.9,11.003
48,10,92.9,14.181
48,11,92.5,16.684
49,5,94.6,2.073
49,6,94.5,3.495
49,7,94.3,5.497
49,8,94.1,8.234
49,9,92.9,11.237
49,10,92.9,14.471
49,11,92.6,17.005
